tsv_brand,majorbrand,sales_upc_pre,sales_upc_post,percentage_sales_upc_pre,percentage_sales_upc_post,growth_contribution,product_grp_id,row_order
SARA LEE SOFT & SMOOTH,SARA LEE,259.67,0.0,8.449184372414876E-4,0.0,-0.011987799377600677,1,0
SARA LEE,SARA LEE,3802.1500000000033,4630.910000000004,0.012371497039156331,0.014076029605890288,0.03826013252274175,1,0
GROUP TOTAL,GROUP TOTAL,4061.8200000000033,4630.910000000004,0.01321641547639782,0.014076029605890288,0.026272333145141068,1,1
DAVES KILLER BREAD,DAVES KILLER BREAD,0.0,10756.770000000013,0.0,0.03269608197605924,0.4965918308275649,3,0
GROUP TOTAL,GROUP TOTAL,0.0,10756.770000000013,0.0,0.03269608197605924,0.4965918308275649,3,1
FRANZ,FRANZ,1322.2100000000003,1182.3400000000001,0.004302228239323247,0.003593819107740878,-0.006457170635595209,4,0
FRANZ BAGEL BOYS,FRANZ,616.6000000000001,786.1500000000001,0.002006303032322183,0.0023895672070220844,0.007827363131945137,4,0
GROUP TOTAL,GROUP TOTAL,1938.8100000000004,1968.4900000000002,0.00630853127164543,0.0059833863147629625,0.0013701924963499292,4,1
PEPPERIDGE FARM,PEPPERIDGE FARM,161.20000000000002,133.62,5.245151618720984E-4,4.061489158586668E-4,-0.0012732449140610267,6,0
PEPPERIDGE FARM MINI,PEPPERIDGE FARM,72.78,57.91,2.3681273871619928E-4,1.7602218019290068E-4,-6.864812136362388E-4,6,0
GROUP TOTAL,GROUP TOTAL,233.98000000000002,191.53,7.613279005882977E-4,5.821710960515674E-4,-0.0019597261276972653,6,1
PRIVATE LABEL,PRIVATE LABEL,64866.019999997705,72823.32999999814,0.21106210285544397,0.22135246616312804,0.3673533171540064,7,0
GROUP TOTAL,GROUP TOTAL,64866.019999997705,72823.32999999814,0.21106210285544397,0.22135246616312804,0.3673533171540064,7,1
THOMAS,THOMAS,183553.15000000803,190801.03000000806,0.5972482021364005,0.579955332130072,0.3346021155810251,8,0
THOMAS BAGEL THINS,THOMAS BAGEL THINS,24761.27999999973,22857.489999999794,0.08056865252704845,0.06947720986940753,-0.08788944651704708,8,0
THOMAS HEARTY GRAINS,THOMAS,6195.120000000006,5645.690000000007,0.020157781449237452,0.017160536392561886,-0.025364719112855285,8,0
THOMAS NOOKS & CRANNIES,THOMAS,0.0,1065.06,0.0,0.0032373369579735936,0.04916904380601292,8,0
GROUP TOTAL,GROUP TOTAL,214509.55000000776,220369.27000000785,0.6979746361126864,0.669830415350015,0.27051699375713517,8,1
GRAZE,ALL NATURE DELIVERED INC,0.0,77.0,0.0,2.3404779614666474E-4,0.0035547446839267224,9,0
ACE BAKERY,ALL ACE BAKERY,0.0,5.98,0.0,1.817669897346825E-5,2.760697819465169E-4,9,0
ALADDIN BAKERS,ALL ALADDIN BAKERS,7.66,11.099999999999998,2.4924231637346613E-5,3.3739357626337374E-5,1.588093728923106E-4,9,0
ALVARADO STREET BAKERY,ALL ALVARADO STREET BAKERY,345.94,369.41,0.0011256251556949982,0.0011228519009680445,0.0010835046458670167,9,0
AUNT MILLIES,AUNT MILLIES,3176.1299999999997,0.0,0.010334543058789255,0.0,-0.1466276783501322,9,0
BAKED IN TELLURIDE,ALL BAKED TELLURIDE,13.47,8.98,4.3828903414498545E-5,2.7295444277883758E-5,-2.0728316403676605E-4,9,0
BAKERS DOZEN,ALL HARLAN BAKERIES LLC,349.83000000000015,328.9000000000001,0.0011382825004821108,9.99718443540754E-4,-9.662442368128121E-4,9,0
BELL,ALL B&S BIALY,119.60000000000001,105.45000000000002,3.891564104212343E-4,3.205238974502052E-4,-6.532420425657545E-4,9,0
BFREE,ALL BFREE FOODS LTD,97.13,150.16000000000003,3.160431617409238E-4,4.5642359830367767E-4,0.0024481572803718727,9,0
BROOKLYN BIALYS,ALL BAGELS BY BELL LTD,17.450000000000003,3.49,5.677909165426873E-5,1.0608140370803376E-5,-6.444705946443773E-4,9,0
BUBBAS,BUBBAS,40.370000000000005,20.34,1.3135655759786982E-4,6.182509316393715E-5,-9.246952729747048E-4,9,0
BUBBAS BAGELS,BUBBAS,338.20000000000005,406.48,0.0011004406187664002,0.0012355291971129388,0.003152181389850864,9,0
BUBBAS SKINNY,BUBBAS,64.02999999999999,62.14000000000001,2.0834184748554871E-4,1.888796110721266E-4,-8.72528240600186E-5,9,0
CANYON BAKEHOUSE,ALL CANYON BAKEHOUSE LLC,93.86999999999999,369.54999999999995,3.0543572112241857E-4,0.0011232774424155836,0.012726909278765177,9,0
CHOMPIES,ALL CIC INTL,973.6900000000003,1077.6800000000003,0.0031682082379853823,0.003275696479887503,0.004800751943916103,9,0
COBBLESTONE BREAD CO,COBBLESTONE BREAD CO,3704.3000000000015,352.0700000000001,0.012053111129794137,0.0010701455531085232,-0.15475742560778807,9,0
COLLEGETOWN BAGELS,ALL COLLEGETOWN BAGELS,34.93000000000001,49.900000000000006,1.1365579779275683E-4,1.5167513023011132E-4,6.910977651738056E-4,9,0
FINAGLE A BAGEL,ALL SJB BAGEL MAKERS OF BOSTON INC,11.07,3.99,3.6019744676948695E-5,1.2127931254872628E-5,-3.268518488597558E-4,9,0
