tsv_brand,majorbrand,sales_upc_pre,sales_upc_post,percentage_sales_upc_pre,percentage_sales_upc_post,growth_contribution,product_grp_id,row_order
SARA LEE SOFT & SMOOTH,SARA LEE,206.16000000000003,0.0,6.685464183977298E-4,0.0,-0.011086433960542798,1,0
SARA LEE,SARA LEE,3906.1200000000044,5400.960000000007,0.012666970003064331,0.01651840414946744,0.08038632587106047,1,0
GROUP TOTAL,GROUP TOTAL,4112.280000000004,5400.960000000007,0.013335516421462062,0.01651840414946744,0.06929989191051768,1,1
DAVES KILLER BREAD,DAVES KILLER BREAD,0.0,12306.83,0.0,0.03763945515959942,0.6618105260895756,3,0
GROUP TOTAL,GROUP TOTAL,0.0,12306.83,0.0,0.03763945515959942,0.6618105260895756,3,1
FRANZ,FRANZ,2287.1200000000013,2433.6100000000006,0.007416792221797712,0.007443001526059331,0.007877627623592873,4,0
FRANZ BAGEL BOYS,FRANZ,1085.8100000000002,1613.4700000000003,0.0035211213938709687,0.004934668937196572,0.028375377103317875,4,0
GROUP TOTAL,GROUP TOTAL,3372.930000000001,4047.080000000001,0.010937913615668681,0.012377670463255903,0.03625300472691076,4,1
PEPPERIDGE FARM,PEPPERIDGE FARM,218.45,272.24999999999994,7.08401072463058E-4,8.326548483403881E-4,0.0028931419629278326,6,0
PEPPERIDGE FARM MINI,PEPPERIDGE FARM,58.92,74.12,1.910688541520869E-4,2.2669009130941997E-4,8.173932683364889E-4,6,0
GROUP TOTAL,GROUP TOTAL,277.37,346.36999999999995,8.994699266151449E-4,0.001059344939649808,0.0037105352312643207,6,1
PRIVATE LABEL,PRIVATE LABEL,66510.73999999768,71029.69999999813,0.21568450238640405,0.21723865594549763,0.24301101867646271,7,0
GROUP TOTAL,GROUP TOTAL,66510.73999999768,71029.69999999813,0.21568450238640405,0.21723865594549763,0.24301101867646271,7,1
THOMAS,THOMAS,183844.53000000818,186836.47000000675,0.5961806464567299,0.5714243988698223,0.1608941852148362,8,0
THOMAS BAGEL THINS,THOMAS BAGEL THINS,21594.10999999986,20675.219999999885,0.07002650804708238,0.06323350660607555,-0.049414111864585185,8,0
THOMAS HEARTY GRAINS,THOMAS,6351.950000000006,6013.910000000007,0.020598435304333834,0.018393062695988064,-0.018178396080820124,8,0
THOMAS NOOKS & CRANNIES,THOMAS,0.0,1048.5900000000001,0.0,0.0032070286406657407,0.056388842581905185,8,0
GROUP TOTAL,GROUP TOTAL,211790.59000000806,214574.19000000664,0.686805589808146,0.6562579968125516,0.1496905198513348,8,1
HOSTESS,HOSTESS,0.0,1727.4400000000014,0.0,0.0052832370659949375,0.09289459391152534,9,0
ACE BAKERY,ALL ACE BAKERY,0.0,2.99,0.0,9.144675836685992E-6,1.6078986002145406E-4,9,0
ALADDIN BAKERS,ALL ALADDIN BAKERS,34.42,30.98,1.1161897420086271E-4,9.474985198011104E-5,-1.8498900283404752E-4,9,0
ALVARADO STREET BAKERY,ALL ALVARADO STREET BAKERY,289.41999999999996,354.42999999999995,9.385462961421754E-4,0.0010839958049487007,0.003495969498325995,9,0
AUNT MILLIES,AUNT MILLIES,3282.329999999999,0.0,0.010644111202461289,0.0,-0.17651016095124383,9,0
BAKED IN TELLURIDE,ALL BAKED TELLURIDE,8.98,8.98,2.9120813141305844E-5,2.746461171018067E-5,0.0,9,0
BAKERS DOZEN,ALL HARLAN BAKERIES LLC,406.64000000000004,433.55000000000007,0.001318673436055747,0.0013259779963194689,0.0014471087401930877,9,0
BELL,ALL B&S BIALY,101.07000000000001,80.14,3.2775507619062157E-4,2.451017797832827E-4,-0.0011255290201501785,9,0
BFREE,ALL BFREE FOODS LTD,168.98999999999998,355.05,5.480096005288723E-4,0.0010858920253563082,0.010005538914913625,9,0
BROOKLYN BIALYS,ALL BAGELS BY BELL LTD,13.96,3.49,4.5270217310983246E-5,1.0673885842820773E-5,-5.630333894396735E-4,9,0
BUBBAS,BUBBAS,72.37,74.24000000000001,2.3468521681918752E-4,2.2705710171089233E-4,1.005608823545551E-4,9,0
BUBBAS BAGELS,BUBBAS,537.9500000000002,535.77,0.00174449236407188,0.0016386096899736633,-1.1723140295879542E-4,9,0
BUBBAS SKINNY,BUBBAS,154.97,100.38000000000001,5.025448120833147E-4,3.070042008316187E-4,-0.0029356249025321653,9,0
CANYON BAKEHOUSE,ALL CANYON BAKEHOUSE LLC,94.36000000000001,505.99,3.0599553764071487E-4,0.0015475299420082758,0.022135762568772952,9,0
CHOMPIES,ALL CIC INTL,1163.58,1349.1,0.003773318012801854,0.004126114438552866,0.009976499943538511,9,0
COBBLESTONE BREAD CO,COBBLESTONE BREAD CO,3210.410000000002,294.70000000000016,0.01041088526915142,9.013163776158405E-4,-0.15679485042245955,9,0
COLLEGETOWN BAGELS,ALL COLLEGETOWN BAGELS,49.9,99.79999999999998,1.6181832692106475E-4,3.052303172245023E-4,0.002683416058552025,9,0
FINAGLE A BAGEL,ALL SJB BAGEL MAKERS OF BOSTON INC,11.07,0.0,3.58983743289817E-5,0.0,-5.95298913189798E-4,9,0
GABRIELS BAKERY,GABRIELS,419.47,326.31,0.0013602792303322453,9.979930342036809E-4,-0.005009760320936007,9,0
GRAZE,ALL NATURE DELIVERED INC,0.0,92.71,0.0,2.835461193375111E-4,0.004985561178123412,9,0
LOUIS SWISS PASTRY,ALL LOUIS SWISS PASTRY INC,19.740000000000002,46.059999999999995,6.401390327498634E-5,1.4087082576513604E-4,0.00141538097517213,9,0
LUCHANSKYS,ALL BROOKLYN BAGEL CO INC,0.0,3.99,0.0,1.2203095848955554E-5,2.145657329383283E-4,9,0
MAPLE LEAF BAKERY,MAPLE LEAF,4102.700000000006,4025.450000000007,0.013304449896975018,0.012311516838390532,-0.004154186182828487,9,0
MARSEE,MARSEE,43.89000000000001,77.80000000000001,1.4232878494119304E-4,2.37945076954572E-4,0.0018235398506112064,9,0
MARSEE BAKING,MARSEE,75.81,123.69999999999999,2.4584062853478796E-4,3.783265555177448E-4,0.0025753265539891074,9,0
MASADA,ALL MASADA BKR INC,87.21000000000001,86.3,2.82809144103929E-4,2.639416470588632E-4,-4.893604435435615E-5,9,0
NATURES GRAIN,ALL PREMIER BAKERS INC,571.8299999999999,598.23,0.0018543601980615721,0.0018296386039400204,0.0014196830450054854,9,0
