"MODEL_DESC","Model","TIME_AGG_PERIOD","START_WEEK","END_WEEK","dependent_variable","CNT_EXPSD_HH","UDJ_AVG_EXPSD_HH_PRE","UDJ_AVG_CNTRL_HH_PRE","UDJ_AVG_EXPSD_HH_PST","UDJ_AVG_CNTRL_HH_PST","UDJ_DOD_EFFCT","UDJ_DIFF_EFFCT","ADJ_MEAN_EXPSD_GRP","ADJ_MEAN_CNTRL_GRP","ADJ_DOD_EFFCT","TWOTAIL_PVAL","ONETAIL_PVAL","ABS_DIFF","DOL_DIFF","ONETAIL_80_PCT_INTRVL_UB","ONETAIL_80_PCT_INTRVL_LB","ONETAIL_90_PCT_INTRVL_UB","ONETAIL_90_PCT_INTRVL_LB","TWOTAIL_80_PCT_INTRVL_UB","TWOTAIL_80_PCT_INTRVL_LB","TWOTAIL_90_PCT_INTRVL_UB","TWOTAIL_90_PCT_INTRVL_LB","CNT_Model_HH","CNT_IMPRESSIONS"
"Total Campaign","","","","","pen","",0.05355425631323913,0.05355425631323913,0.05069176315569066,0.05022778292149698,0.9237521690313416,0.9237521690313416,0.0506014580966104,0.0503185888270869,0.5621566027925397,28.208814793462857,64.10440739673142,0.00028286926952349883,0.00028286926952349883,1.8805351125492746,-0.8119092230528033,2.513557058496849,-1.736824620895025,2.513557058496849,-1.736824620895025,2.7125653983156925,-2.1204663249875058,"36831",""
"Total Campaign","","","","","occ","",1.4822497008376547,1.451503789389709,1.4804045512010113,1.46947457787858,-1.3485049978967294,0.7438014571310542,1.4763160408161287,1.4735968374164579,0.1845283140291049,11.081363318490379,55.540681659245195,0.0027192033996708,0.0027192033996708,1.386043408450284,-0.8562681269972989,2.0848222823463414,-1.391607495911269,2.0848222823463414,-1.391607495911269,2.24969204125204,-1.8387219277661557,"2373",""
"Total Campaign","","","","","dolocc","",6.63190443425077,6.631904434250766,7.492813035538706,7.293566554513692,2.7318113783674747,2.731811378367536,7.490570110040238,7.297080109113503,2.6516085616914142,99.90786502647127,99.95393251323564,0.19349000092673485,0.19349000092673485,3.337843621926357,1.7916540778531054,3.69378351775579,1.6711262957049253,3.69378351775579,1.6711262957049253,3.8128804846008757,1.5893508260340545,"2373",""
"Total Campaign","","","","","dolhh","4985449",0.5264457495216307,0.515525825309271,0.5622930357921935,0.5383268431361211,2.536262302521804,4.762451588260178,0.5595736339872217,0.5410734796153204,3.425883651757257,89.2870152733006,94.6435076366503,0.018500154371901334,0.018500154371901334,5.4812936734415985,1.5184542755425603,5.908759914085258,0.6095679801524708,5.908759914085258,0.6095679801524708,6.088900192345113,0.24975877220781445,"36831","18420000"
"ad_size(30)","","","","","pen","",0.050518556588869674,0.050518556588869674,0.05320820196281412,0.047440666752251504,12.157365411161486,12.157365411161486,0.053251904086227625,0.047413040062458625,12.314890620971129,99.12179162941688,99.56089581470845,0.005838864023769,0.005838864023769,17.15145385381296,9.0216195886808,18.112345569850326,6.66173840347164,18.112345569850326,6.66173840347164,18.936636166551107,4.910104329396372,"6728",""
"ad_size(30)","","","","","occ","",1.4282407407407407,1.419259259259259,1.4153846153846157,1.5253146846386851,-7.795870054428722,-7.207041954107297,1.419737132721993,1.520117857602015,-6.603483037714751,92.7393353628196,96.3696676814098,-0.10038072488002192,-0.10038072488002192,-3.8467665949982695,-9.73292770389602,-1.798973632723034,-11.48819826147113,-1.798973632723034,-11.48819826147113,-0.8165465554961486,-12.08299896182221,"455",""
"ad_size(30)","","","","","dolocc","",6.548344843107,6.548344843106996,7.3870694924123566,7.332238443693845,0.747807768931266,0.7478077689313267,7.399339669764693,7.320689542704407,1.0743540837442835,30.13174759511148,65.06587379755574,0.07865012706028551,0.07865012706028551,2.8409506180337782,-1.058153579825216,4.999585629985781,-2.6825609209790815,4.999585629985781,-2.6825609209790815,6.6633502091237515,-3.4055574576915437,"455",""
"ad_size(30)","","","","","dolhh","901620",0.4724805035041648,0.46950931330384654,0.5563207240436461,0.530575039727988,2.648408969742872,3.5950388557786304,0.5594174981705969,0.527627050710564,6.024664132815724,66.26601457865692,83.13300728932846,0.0317904474600329,0.0317904474600329,11.741066145221572,-0.18047905713341386,15.506888331540186,-2.3149951729002183,15.506888331540186,-2.3149951729002183,17.593758845354735,-2.560315891222947,"6728","1455684"
"audience(BHV_ACA_Good_Intenders)","","","","","pen","",0.05106886766282251,0.05106886766282251,0.05306374530590151,0.05134017102228124,3.3571650606154897,3.3571650606154897,0.053339378805329636,0.051063088328995684,4.457800244411348,48.71988364341908,74.35994182170954,0.0022762904763339517,0.0022762904763339517,10.190753173406017,-0.6098335567889347,15.066957570108292,-3.373659527455038,15.066957570108292,-3.373659527455038,17.643916488778956,-4.638109921446595,"1972",""
"audience(BHV_ACA_Good_Intenders)","","","","","occ","",1.5078125,1.5209375,1.4436090225563907,1.5999364403680447,-8.950506670046977,-9.770851758066899,1.4253769358917787,1.6211479321083062,-12.076072290449577,99.67944013082682,99.8397200654134,-0.1957709962165275,-0.1957709962165275,-9.221726264441104,-14.71586703205886,-6.926580908106018,-16.154558319290185,-6.926580908106018,-16.154558319290185,-6.374615386189057,-17.34767940568884,"133",""
