MODEL_DESC,dependent_variable,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFCT,UDJ_DIFF_EFFCT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFCT,PVAL,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,COVAR,CORR_PVAL,unadj_avg_cntrl_hh_pst,idx,CNT_IMPRESSIONS,TWOTAIL_PVAL_to_Campaign,ONETAIL_PVAL_to_Campaign,CNT_Model_HH
Total Campaign,dolhh,949062,4.0255622,4.064193018,4.106708592,4.219950553,-1.76805728,-2.683490241,3.29471867,3.337021155,-1.267672061,0.270072188,72.99278125,86.49639062,-0.042302485,-0.042302485,-0.364893299,-2.230890845,0.308317302,-2.633939678,0.308317302,-2.633939678,0.821135927,-3.035502597,0,0,0,1,5906925,,,26606
Total Campaign,dolocc,,2.640013194,2.640013194,2.683984662,2.652255786,1.196297716,1.196297716,2.434580628,2.394659777,1.667078216,0.005396198,99.46038018,99.73019009,0.039920851,0.039920851,2.160159147,1.196803389,2.32149616,0.65713752,2.32149616,0.65713752,2.443441199,0.461970626,0,0,0,1,,,,10398
Total Campaign,occ,,2.226546034,2.248535819,2.229033571,2.300858092,-2.165919541,-3.121640608,1.931245017,1.978970648,-2.411639161,0.002590101,99.74098986,99.87049493,-0.047725631,-0.047725631,-1.576928371,-3.167108022,-1.294896235,-3.429496072,-1.294896235,-3.429496072,-1.129328639,-3.622228318,0,0,0,1,,,,10398
Total Campaign,pen,,0.684839443,0.684649725,0.686431568,0.691520168,-0.763291939,-0.735857024,0.700739481,0.704169096,-0.487044323,0.345369835,65.4630165,82.73150825,-0.003429616,-0.003429616,-0.069828488,-0.9345097,0.163102289,-1.146596413,0.163102289,-1.146596413,0.376812516,-1.29426435,0,0,0,1,,,,26606
creative_name(CocaColaHoliday),dolhh,949062,4.0255622,4.064487931,4.106708592,4.292107269,-3.412611505,-4.319525718,3.291429466,3.399570398,-3.181017573,0.019131853,98.08681472,99.04340736,-0.108140932,-0.108140932,-2.04934386,-4.285157155,-1.610023294,-4.932919453,-1.610023294,-4.932919453,-1.104539025,-5.436449192,0,0,0,2,5906925,,,26606
creative_name(CocaColaHoliday),dolocc,,2.640013194,2.640013194,2.683984662,2.659504116,0.920492878,0.920492878,2.433380278,2.402953989,1.266203557,0.021802986,97.81970143,98.90985072,0.030426289,0.030426289,1.723673264,0.786417727,1.922834379,0.545773068,1.922834379,0.545773068,2.138838668,0.308999787,0,0,0,2,,,,10398
creative_name(CocaColaHoliday),occ,,2.226546034,2.248749574,2.229033571,2.310789425,-2.577141481,-3.538005337,1.929558745,1.989498466,-3.012805604,0.002021138,99.79788616,99.89894308,-0.059939721,-0.059939721,-2.164731687,-3.832299993,-1.750963229,-4.445379116,-1.750963229,-4.445379116,-1.484930526,-4.759988385,0,0,0,2,,,,10398
creative_name(CocaColaHoliday),pen,,0.684839443,0.684634329,0.686431568,0.698409835,-1.744445878,-1.715077102,0.700997357,0.711104859,-1.421379983,0.041183975,95.88160253,97.94080127,-0.010107502,-0.010107502,-0.897315737,-1.982346902,-0.570318145,-2.348273725,-0.570318145,-2.348273725,-0.218952958,-2.540460723,0,0,0,2,,,,26606
device(Computer),dolhh,595590,4.01607222,3.99561848,4.087766866,4.241833699,-4.114271945,-3.632080948,3.254456771,3.380799016,-3.737052815,0.000873927,99.91260732,99.95630366,-0.126342245,-0.126342245,-2.732720265,-4.875828563,-2.239496801,-5.27138947,-2.239496801,-5.27138947,-1.913245126,-5.50342814,0,0,0,13,3960824,,,16674
device(Computer),dolocc,,2.662811879,2.662811879,2.724356889,2.680288131,1.644179885,1.644179885,2.464383671,2.427791511,1.507220005,0.027097886,97.29021141,98.64510571,0.036592159,0.036592159,2.086751693,0.94698329,2.365261046,0.599222949,2.365261046,0.599222949,2.579933809,0.30827453,0,0,0,13,,,,6511
device(Computer),occ,,2.196262806,2.185082863,2.188937031,2.277446244,-4.3772342,-3.886335999,1.888077479,1.967366617,-4.030216702,1.67E-09,99.99999983,99.99999992,-0.079289138,-0.079289138,-3.479547859,-4.684925445,-3.237773366,-4.976272557,-3.237773366,-4.976272557,-2.950722304,-5.140196263,0,0,0,13,,,,6511
device(Computer),pen,,0.686715297,0.68671362,0.68547063,0.694911736,-1.358846411,-1.358605084,0.699439579,0.707824413,-1.184592355,0.0628195,93.71805,96.859025,-0.008384834,-0.008384834,-0.610691108,-1.792042601,-0.407394079,-2.099156627,-0.407394079,-2.099156627,-0.246592408,-2.284509656,0,0,0,13,,,,16674
device(Smartphone),dolhh,330393,4.110325531,4.108766044,4.13019404,4.334315667,-4.745411509,-4.709431498,3.291019734,3.449677421,-4.599203553,0.010926381,98.90736192,99.45368096,-0.158657687,-0.158657687,-2.743651382,-6.37523489,-2.154713128,-6.880222758,-2.154713128,-6.880222758,-1.737792118,-7.248796669,0,0,0,24,1649473,,,9327
device(Smartphone),dolocc,,2.617075712,2.617075712,2.619813805,2.672131551,-1.957903098,-1.957903098,2.372170883,2.416436554,-1.831857334,0.076568489,92.34315107,96.17157554,-0.04426567,-0.04426567,-1.020218381,-2.760734101,-0.570895688,-3.119619788,-0.570895688,-3.119619788,0.159490162,-3.357006283,0,0,0,24,,,,3649
