id,state_1,state_2
1,2016-02-01 07:54:11,2016-02-02 13:36:39
2,2016-02-01 09:07:09,2016-02-01 13:40:58
3,2016-02-01 09:20:15,2016-02-01 17:54:43
4,2016-02-01 09:20:24,2016-02-01 21:10:27
5,2016-02-01 10:10:18,2016-02-01 13:46:50
6,2016-02-01 10:33:12,2016-02-01 13:49:08
7,2016-02-01 10:42:12,2016-02-02 17:03:52
8,2016-02-01 11:44:12,2016-02-02 07:50:19
9,2016-02-01 11:45:13,2016-02-03 13:40:16
10,2016-02-01 11:48:13,2016-02-03 08:02:37
11,2016-02-01 12:14:11,2016-02-01 21:21:04
12,2016-02-01 12:22:12,2016-02-01 14:27:34
13,2016-02-01 12:23:14,2016-02-01 15:23:56
14,2016-02-01 12:36:13,2016-02-01 13:51:26
15,2016-02-01 12:41:12,2016-02-01 14:29:47
16,2016-02-01 12:50:16,2016-02-01 14:37:02
17,2016-02-01 13:12:14,2016-02-01 14:30:40
18,2016-02-01 13:15:13,2016-02-01 14:31:41
19,2016-02-01 13:18:13,2016-02-01 14:32:50
20,2016-02-01 13:26:12,2016-02-01 14:34:51
21,2016-02-01 13:30:18,2016-02-01 17:57:45
22,2016-02-01 13:33:19,2016-02-01 18:13:02
23,2016-02-01 14:00:18,2016-02-01 14:41:09
24,2016-02-01 14:05:12,2016-02-01 18:18:48
25,2016-02-01 14:16:21,
26,2016-02-01 14:17:27,2016-02-01 18:07:19
27,2016-02-01 14:29:15,2016-02-01 18:10:51
28,2016-02-01 14:37:12,2016-02-01 18:30:30
29,2016-02-01 14:43:09,2016-02-01 18:42:38
30,2016-02-01 14:46:43,2016-02-01 21:16:04
31,2016-02-01 14:51:10,2016-02-01 18:53:00
32,2016-02-01 14:52:34,2016-02-01 18:54:31
33,2016-02-01 14:53:26,2016-02-01 18:55:24
34,2016-02-01 14:54:20,2016-02-01 21:28:03
35,2016-02-01 14:55:22,2016-02-01 18:58:03
36,2016-02-01 14:57:03,2016-02-01 18:59:11
37,2016-02-01 14:58:53,2016-02-01 19:02:23
38,2016-02-01 15:00:01,2016-02-01 19:03:33
39,2016-02-01 15:01:08,2016-02-01 19:05:25
40,2016-02-01 15:01:33,2016-02-01 19:06:33
41,2016-02-01 15:03:04,2016-02-01 19:08:08
42,2016-02-01 15:04:46,2016-02-01 19:09:01
43,2016-02-01 15:06:00,2016-02-01 19:10:49
44,2016-02-01 15:06:10,2016-02-04 16:57:44
45,2016-02-01 15:10:46,2016-02-04 11:27:39
46,2016-02-01 15:12:40,2016-02-02 07:58:14
47,2016-02-01 15:13:18,2016-02-01 19:14:53
