Hubspot Domain,Umbrella Domain,Rank 06/09/2019,Rank 06/09/2018,Rank 06/08/2017,Match Type
sevenstore.ch,sevenstore.com,191950,,,Approximate
seventhgeneration.com,seventhgeneration.com,829023,916636,701576,Exact
sewing.net,sewing.patternreview.com,569039,581302,283104,Approximate
sewing.sg,sewing.patternreview.com,569039,581302,283104,Approximate
sewingpatterns.eu,sewingpatterns.ml.zerolag.com,,,998975,Approximate
sewtrendyaccessories.com,sewtrendyaccessories.com,,836101,544147,Exact
sexshopboys.net,sexshopboys.com,,,844807,Approximate
seymourduncan.com,seymourduncan.com,484511,412130,366456,Exact
sfcable.com,sfcable.com,,968956,,Exact
sfmoma.org,sfmoma.org,401991,347629,402747,Exact
sfopera.com,sfopera.com,626917,792399,517731,Exact
sfrbusiness.be,sfrbusiness.fr,,557794,,Approximate
sfrbusiness.lu,sfrbusiness.fr,,557794,,Approximate
sglady.com,sglady.com,980947,,,Exact
shabbyapple.com,shabbyapple.com,945042,,866224,Exact
shabbychic.com,shabbychic.com,,988270,,Exact
shades.co.il,shades.makkhichoose.com,,,760212,Approximate
shades.io,shades.makkhichoose.com,,,760212,Approximate
shades.net.au,shades.makkhichoose.com,,,760212,Approximate
shadow-net.me,shadow-net.org,,,838079,Approximate
shadow-net.org,shadow-net.org,,,838079,Exact
shadyrays.com,shadyrays.com,371570,578459,,Exact
shaily.co,shaily.com,913878,,,Approximate
shake2.nl,shake2.intsig.net,406987,385568,359664,Approximate
shakedownrecords.com,shakedownrecords.com,684160,,,Exact
shambhala.com,shambhala.com,589953,648862,626861,Exact
shameless.sg,shameless.com,255255,254252,100979,Approximate
shampoo.ch,shampoo.pt,787322,,,Approximate
shan.ca,shan.gallerycdn.vsassets.io,800765,,959499,Approximate
shanga.com.au,shanga.co,408003,758459,479307,Approximate
shanti.com.mx,shanti.virginia.edu,800766,,999004,Approximate
shantycreek.com,shantycreek.com,,727596,,Exact
shanycosmetics.com,shanycosmetics.com,693383,,,Exact
shapeactive.com,shapeactive.com,411171,238904,187074,Exact
shapewear.be,shapewear.makeufits.com,,451237,,Approximate
shapewear.co.uk,shapewear.makeufits.com,,451237,,Approximate
shareacoke.com,shareacoke.com,,638547,503023,Exact
shareasale.com,shareasale.com,16028,15052,13211,Exact
sharechat.co.nz,sharechat.com,106153,58569,122050,Approximate
sharkrobot.com,sharkrobot.com,646184,578463,519838,Exact
sharktrust.org,sharktrust.org,,,595973,Exact
sharpedge.co.za,sharpedge.co.za,,652417,,Exact
